Site,Probe Model,Serial Number,Date,Time,Hole ID,Cable length (ft),Neutron Count (MD),Gamma Count (WD),Operator,Duration (s),Flag
Rivendell,503,H340702152,8/16/2010,,standard counts,0,7558,,2,25,
Rivendell,503,H340702152,8/16/2010,,standard counts,0,7462,,2,25,
Rivendell,503,H340702152,8/16/2010,,standard counts,0,7558,,2,25,
Rivendell,503,H340702152,8/16/2010,,standard counts,0,7462,,2,25,
Rivendell,503,H340702152,8/18/2010,,standard counts,0,7546,,2,25,
Rivendell,503,H340702152,8/18/2010,,standard counts,0,7187,,2,25,
Rivendell,503,H340702152,8/18/2010,,standard counts,0,7558,,2,25,
Rivendell,503,H340702152,8/18/2010,,standard counts,0,7462,,2,25,
Rivendell,503,H340702152,8/20/2010,,standard counts,0,7558,,2,25,
Rivendell,503,H340702152,8/20/2010,,standard counts,0,7462,,2,25,
Rivendell,503,H340702152,8/23/2010,,standard counts,0,7727,,2,25,
Rivendell,503,H340702152,8/23/2010,,standard counts,0,7630,,2,25,
Rivendell,503,H340702152,8/23/2010,,standard counts,0,7547,,2,25,
Rivendell,503,H340702152,10/10/2010,,12,5,5383,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,6,4852,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,7,5087,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,8,5197,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,9,5730,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,10,5097,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,11,5135,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,12,5259,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,13,5329,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,14,5299,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,15,5266,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,16,5238,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,17,5161,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,18,4811,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,19,4849,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,20,4895,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,21,6289,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,22,12670,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,23,12011,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,24,11240,,2,25,4
Rivendell,503,H340702152,10/10/2010,,12,25,10614,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,4,4391,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,5,3213,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,6,3306,,2,25,4
Rivendell,503,H340702152,10/10/2010,,13,7,4362,,2,25,4
